@relation function

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class numeric 

@data
10,2,-29,348
2,-26,15,-244
23,21,27,-71
-21,-16,25,-419
-20,15,21,-250
10,-19,-29,264
-9,-4,27,-331
19,3,-18,287
-22,29,15,-144
-20,2,-19,98
-17,4,-5,-19
0,19,-27,346
16,-4,25,-186
1,23,-3,127
7,22,-8,203
-3,-4,7,-101
13,-25,7,-105
-2,27,22,-122
9,3,15,-93
4,4,-28,316
-3,11,7,-41
27,-5,-5,165
-10,26,-1,64
-27,-19,25,-461
-13,-21,-2,-129
20,9,-14,276
16,27,7,118
-5,7,19,-187
5,-22,26,-323
-2,-14,11,-176
-4,7,16,-152
-22,6,5,-136
16,-20,-18,180
-16,-2,-29,202
24,-8,-17,258
3,-23,11,-187
-26,-5,-19,40
4,-18,7,-122
-29,13,-27,177
29,-4,-23,359
0,2,-15,158
-11,-19,-25,119
20,-8,-2,88
10,1,12,-66
-22,7,-2,-62
10,-1,7,-24
26,-9,-16,254
12,-7,-5,82
10,-29,-26,194
-6,18,20,-158
0,-8,-29,258
-13,9,14,-169
-3,19,1,51
0,17,-29,358
21,-8,11,-37
14,-4,-15,204
18,-28,25,-272
-26,0,2,-150
-2,-23,10,-202
17,-21,-5,51
-26,8,14,-238
-20,14,0,-44
-29,14,-12,31
5,25,23,-105
8,-22,24,-288
8,29,-2,176
12,-4,5,-6
-21,-7,15,-283
17,-28,-23,203
-26,-5,14,-290
2,29,26,-134
-24,-12,-7,-98
-27,-28,-29,43
-20,4,-15,66
27,-14,17,-91
5,-22,-3,-33
4,9,-6,116
-5,28,-25,337
-4,-21,18,-284
9,23,-26,397
2,6,-2,54
-12,26,-16,204
-2,25,13,-40
-16,10,-23,190
-17,20,14,-145
0,-2,4,-48
-12,-13,10,-212
19,6,-10,219
-25,-10,-26,95
-15,25,-17,195
26,-11,-8,166
-2,-15,8,-150
-13,-17,-26,127
10,-12,13,-128
-19,13,21,-253
-28,10,27,-370
27,11,-8,259
-8,-6,-20,136
-18,8,25,-308
25,5,-8,225
13,0,27,-205
-12,-8,-27,178
-19,0,12,-215
11,6,5,29
21,-5,4,45
26,-25,-18,210
-20,-5,9,-210
-13,-12,-21,97
0,18,8,-8
-25,28,-10,87
25,8,-21,367
-17,8,11,-163
23,12,14,23
-22,-26,-26,46
2,-15,25,-300
18,5,13,-20
8,-21,12,-164
-22,2,-16,58
-28,-26,3,-274
23,25,-6,275
15,-22,-18,167
-25,10,19,-275
5,20,-25,355
-15,-28,0,-187
-10,0,25,-300
0,22,3,58
20,-22,19,-178
-29,4,29,-419
14,4,-20,286
-3,26,-27,359
-21,17,15,-187
-10,20,-19,220
13,7,-2,113
-8,-15,10,-200
-23,-19,26,-451
24,25,-22,440
-5,-13,-21,133
25,24,-7,291
0,-2,5,-58
-16,-11,-7,-54
4,-20,-19,130
-6,-25,6,-190
25,6,-27,419
-9,-1,-10,51
-5,-3,23,-267
19,25,-2,215
1,-21,28,-359
-9,-3,8,-137
22,-7,24,-158
-7,-2,-7,27
6,3,-4,82
9,8,-24,317
10,-17,-27,252
-9,13,-4,47
-19,-20,3,-205
-20,1,-4,-56
5,-12,-22,197
6,-24,-19,124
19,-14,-16,199
22,13,-3,192
19,-19,-15,169
-25,27,-3,13
-22,-11,27,-424
-1,-16,15,-219
7,-7,4,-33
10,0,3,20
1,3,2,-3
-21,12,13,-187
23,13,7,97
-12,27,5,-2
27,25,17,65
-19,11,-13,79
12,5,-17,250
-3,27,27,-177
-27,25,-22,185
14,1,-11,184
-29,28,8,-113
-4,1,0,-16
27,-12,-10,187
11,18,10,27
-24,4,15,-254
21,-28,-6,53
-22,5,16,-250
-9,-10,23,-315
-6,18,0,42
-29,-1,29,-439
-9,11,8,-81
3,-21,-28,211
-3,7,14,-127
-26,-28,-15,-92
16,-26,-8,56
0,-14,13,-186
11,20,0,135
29,17,15,63
-8,-14,17,-266
6,13,1,72
7,-27,-22,147
-26,23,-2,-18
-14,11,-5,24
-19,-28,-10,-107
-28,-15,7,-270
8,20,-18,300
-2,-10,-19,140
-11,-27,-14,-23
-18,24,29,-284
9,26,4,109
22,14,-3,196
1,18,-10,177
-9,24,11,-59
-1,18,-21,277
29,-14,-19,279
25,15,7,115
20,12,13,18
24,-11,10,-24
5,-1,-7,91
5,-26,-10,21
