@relation function

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class numeric

@data
6,-14,-10,10.866243843599069
14,15,-14,-8.967292543991801
16,26,-21,-16.971386940395043
-10,-27,-7,5.855559969755069
-20,-9,-10,4.529266914230958
-6,-15,-27,18.517941970892522
-16,11,28,-28.957385263743085
-24,-8,5,-4.522612225779912
-28,28,-5,-2.317134807852912
-1,29,-4,3.19483784272001
-12,-10,0,0.8438539587324921
20,-1,-20,17.237501757971323
8,16,17,-5.039856417114724
-1,0,22,0.5403023058681398
-3,-29,16,9.628149650807035
18,-1,-17,14.965323449978321
20,-2,27,-24.142948462480014
-28,-17,22,20.188138955036685
-17,17,19,-18.54171568376318
-25,-12,14,8.503223663869562
-25,23,19,-15.086984867464768
0,26,-6,-3.575350702877616
-4,-29,-13,-9.28088411563219
-20,-14,6,-5.53556207235583
-18,16,8,-1.6429098250764422
15,0,-10,-0.7596879128588213
21,29,19,-13.156773060270652
28,-29,-27,-18.88072074006369
24,29,-9,6.396883965253705
-24,17,25,-23.610758289651926
-28,8,-24,-24.70720378527473
-13,-14,3,-2.064375285634415
0,-20,-18,17.433014513097298
-2,-12,27,14.0713219494646
-15,-3,-9,0.5103921596799835
-10,-21,-22,17.56735251871678
17,-4,6,4.265651633795972
-12,25,-8,1.9026679595146763
28,28,25,5.810038841383159
9,-28,-21,4.777891292580573
13,-24,16,15.396700573556178
2,22,17,-0.5666190944840083
14,20,12,11.092080226939366
28,21,22,17.443818181479667
-11,-27,22,-21.035844726911016
29,-8,-16,15.081674416285109
-11,-3,-7,0.9922657544071213
18,-29,-5,-2.6578527128207576
19,24,6,-4.444765553853074
24,-15,-2,1.7247546876512305
-12,21,-1,0.00719832019643607
19,12,14,-6.52331623381942
-9,-17,16,14.471229608188231
0,-3,0,1.0
23,-14,1,-1.523440376028268
-20,24,-3,3.1248171478332636
-25,18,-25,19.765883981155376
-16,18,23,-18.230366156071934
29,-24,-6,-6.1815277017287436
-11,2,-26,-23.637307399479674
-19,18,-1,1.7396918649583453
26,-13,22,-8.59675548785746
0,11,10,-8.999902065507035
15,18,-10,6.75018455485794
-20,-26,-3,2.6957574132522
14,25,-3,0.5337924685011527
0,27,8,8.651007427236024
-9,8,-22,-22.677011687599077
-26,-9,16,-5.946976441539465
-26,6,-29,8.74996877009749
0,-27,21,-19.083894496494565
-18,-16,-11,-2.506619775071638
-5,20,23,21.28140295219866
14,21,-29,-24.126276299337793
20,25,2,0.1433785616178459
13,13,5,3.008281965583401
-15,8,-25,-25.493644078443367
17,23,29,-24.815555059131547
7,-28,24,-5.747836665045552
-11,8,16,15.83415764396216
24,-3,16,-1.8337411216208785
-20,-3,-9,1.6781621343521969
14,-14,0,0.1367372182078336
-10,-11,23,22.160703221589728
-12,-5,-11,-9.704313062562031
-29,5,1,-1.7069818043521388
0,27,-26,-23.86577413851708
-24,20,-7,-5.966437747756396
-3,8,25,23.743963668984097
1,-25,-12,-1.0479186953051367
-12,6,23,-5.582702499842803
-1,-29,2,1.8675700742940748
16,27,-23,-22.954305833626954
14,-24,-10,-8.919046401858404
-18,17,8,-7.030863226792374
27,-21,21,-17.861907217991014
18,18,-12,9.672163669504192
15,-15,-1,-0.10940007270170449
-17,21,16,13.1113268785253
-22,15,28,17.208098698004633
16,-12,0,-0.9576594803233847
8,17,-16,15.236859836264296
23,0,9,-0.5328330203333975
1,25,15,-1.4449739455984556
4,-29,27,17.264471252886512
26,24,21,-18.370226279810463
-16,9,21,7.696828709753504
